<conflict>IGNORE</conflict>
239790805.191042, 080807357
241613191.271448, 080828449
244545885.927230, 081001392
245012891.745324, 081006797
246645286.557752, 081025691
248255045.238298, 081113322
249166723.331554, 081123874
251687595.665124, 081223051
255342766.380242, 090203356
263649437.985436, 090510498
264659628.890568, 090522190
267777290.325250, 090627274
271446248.096946, 090808739
271833016.790074, 090813215
273123112.217748, 090828147
280077133.150782, 091116633
280280333.984956, 091118985
281250934.980584, 091130219
281256905.220904, 091130288
#281324816.242772, 091201074
282234171.438494, 091211599
282422850.802632, 091213783
282430912.479642, 091213876
282436825.106924, 091213945
283104876.970184, 091221677
283371023.683796, 091224757
283611494.322114, 091227540
283633990.596056, 091227801
284206838.169226, 100103431
284304652.233714, 100104563
284802754.506562, 100110328
286146698.123060, 100125883
286467270.550726, 100129593
286830870.039888, 100202802
286916546.710500, 100203793
287169785.656644, 100206724
287266468.247782, 100207843
287310138.994640, 100208349
287518558.550044, 100210761
287873431.660198, 100214868
288028520.709570, 100216663
288188741.133716, 100218518
288600866.611804, 100223288
288778568.232526, 100225345
288781074.545288, 100225374
288864420.034852, 100226338
289340477.550106, 100303848
289426375.044548, 100304842
289509676.389138, 100305806
289594705.074760, 100306791
290193012.832260, 100313715
290967345.144032, 100322678
291385166.610698, 100327513
291722736.414486, 100331421
292507956.019274, 100409509
292510904.380070, 100409543
292668430.738222, 100411366
292674204.846774, 100411433
#292917883.295036, 100414253
293189144.109488, 100417393
293421845.905902, 100420086
293989565.955348, 100426657
294043330.417378, 100427279
294192236.604116, 100429003
294375834.428774, 100501128
294413067.376176, 100501559
294859694.876934, 100506728
295076532.289116, 100509238
295426415.245144, 100513287
295527614.664942, 100514458
295601707.800104, 100515316
296031818.535632, 100520294
296895589.785886, 100530292
297311477.268028, 100604105
297500427.336114, 100606292
#297631096.189882, 100607804
297786019.113930, 100609597
297832204.417408, 100610132
297838234.623898, 100610202
298416958.405580, 100616900
298468513.215612, 100617497
298713876.415000, 100620337
298726384.488748, 100620481
#299023845.666508, 100623924
299064444.989708, 100624394
#299550820.217122, 100630023
299657020.399800, 100701253
299700246.095708, 100701753
299703675.963702, 100701793
299777644.250168, 100702649
299994938.861206, 100705164
300038067.651966, 100705663
300680205.393162, 100713095
300713544.684116, 100713481
300969487.300492, 100716443
301703138.696012, 100724934
301829534.308034, 100726397
302009522.041144, 100728481
302049181.883838, 100728940
303921359.426242, 100819608
304520497.701372, 100826543
304752672.768510, 100829230
305002750.626280, 100901124
305018980.092064, 100901312
305242730.892660, 100903902
305342607.481132, 100905058
305347030.082666, 100905109
305401617.595468, 100905741
305729787.161530, 100909539
305896841.181744, 100911473
306023883.060150, 100912943
306493191.739534, 100918375
306683492.456478, 100920577
306717496.814938, 100920971
306783112.388344, 100921730
306929906.197056, 100923429
307093176.328058, 100925319
307267191.533904, 100927333
307290196.560340, 100927599
307402640.329698, 100928901
307714200.548154, 101002507
307820296.547176, 101003735
308137789.123656, 101007410
308286814.059132, 101009134
308553517.150620, 101012221
308554353.847264, 101012231
309470113.808150, 101022830
309725221.094594, 101025783
309805365.580384, 101026710
310669333.491264, 101105710
311446064.028266, 101114700
311532018.917442, 101115695
311752738.805076, 101118249
312182637.855512, 101123225
312306690.253256, 101124661
312594497.884346, 101127992
312648479.013606, 101128617
313221578.144020, 101205250
313316378.018606, 101206347
313479421.786532, 101208234
313915633.032952, 101213283
314241125.114396, 101217050
314456168.374722, 101219539
315081646.401540, 101226778
315399040.150104, 101230452
315419107.703988, 101230684
315501008.020098, 101231632
315562532.245794, 110101344
315922657.818588, 110105512
316371632.177064, 110110709
316519106.994478, 110112416
316836247.899012, 110116086
317127379.294700, 110119456
317483416.718352, 110123577
317596109.330766, 110124881
317620365.267658, 110125162
318374312.889486, 110202888
318707949.995118, 110206749
319239172.730208, 110212898
319752056.140782, 110218834
320047651.188382, 110222255
320066074.944664, 110222468
321341298.094750, 110309228
321473214.848388, 110310755
321596039.821842, 110312176
321897111.205924, 110315661
321903757.498244, 110315738
322123356.877448, 110318280
322859724.332296, 110326802
323539329.937722, 110403668
323707792.629704, 110405618
323721225.477462, 110405773
324105023.043518, 110410216
325958080.739458, 110501663
326138459.084820, 110503751
326430292.662854, 110507128
326866611.060306, 110512178
326934269.133668, 110512961
327094492.040012, 110514816
327223029.849074, 110516304
#327298197.784076, 110517174
327326424.954266, 110517500
327696430.034186, 110521783
327787887.467618, 110522841
328652810.235090, 110601852
328890075.652980, 110604598
329019601.742110, 110606097
329901555.041996, 110616305
330041115.105050, 110617920
330201782.192432, 110619780
330687597.395754, 110625403
331226669.154832, 110701642
331636630.583934, 110706387
331877332.200438, 110709173
331947163.547910, 110709981
332318522.796000, 110714279
332760990.547400, 110719400
